"pop_dens","pH","COD","mean_cont","mean_pred","mean_total"
16,7.9,158.255830727787,326.616259098288,168.360428370501,247.488343734395
16,7.9,246.9311048938,371.19536634555,124.26426145175,247.72981389865
16,7.9,184.00026516308,336.497961204764,152.497696041684,244.497828623224
16,7.9,116.462917683474,305.2182876196,188.755369936127,246.986828777863
16,7.9,272.452643792856,387.392441978719,114.939798185864,251.166120082291
16,7.9,133.514426205556,314.245556837173,180.731130631618,247.488343734396
16,7.9,157.104203790565,327.805035291549,170.700831500983,249.252933396266
16,7.9,163.531025085378,329.291005533123,165.759980447745,247.525492990434
16,7.9,168.13753283426,329.736796605594,161.599263771334,245.668030188464
16,7.9,177.016205027676,334.826244682992,157.810039655316,246.318142169154
16,7.9,67.2030041752483,279.659599464502,212.456595289254,246.058097376878
16,7.9,201.088922941198,346.342514055201,145.253591114004,245.798052584603
16,7.9,222.932685492355,360.793574654521,137.860889162166,249.327231908344
16,7.9,138.789620563147,307.632989262158,168.843368699012,238.238178980585
16,7.9,171.666712158003,336.386513436644,164.719801278641,250.553157357642
16,7.9,111.744962166473,300.908973919032,189.164011752559,245.036492835795
16,7.9,232.814387598834,361.796604567586,128.982216968752,245.389410768169
16,7.9,162.750890708551,330.331184702226,167.580293993675,248.955739347951
16,7.9,282.000002594978,386.09221801734,104.092215422362,245.092216719851
16,7.9,208.407326380953,352.100648741303,143.69332236035,247.896985550827
16,7.9,158.738771056298,327.507841243234,168.769070186936,248.138455715085
16,7.9,228.913715714699,363.39402257728,134.480306862581,248.937164719931
16,7.9,246.819657125682,368.000530326163,121.180873200481,244.590701763322
16,7.9,139.19826237958,317.031751040127,177.833488660547,247.432619850337
16,7.9,229.025163482816,363.468321089358,134.443157606542,248.95573934795
16,7.9,116.648663963672,307.112899677608,190.464235713935,248.788567695772
16,7.9,72.329601508685,272.304046768704,199.974445260019,236.139246014361
16,7.9,109.776051596386,298.382824508353,188.606772911967,243.49479871016
16,7.9,158.701621800257,324.795945552357,166.0943237521,245.445134652229
16,7.9,200.494534844566,349.017260490036,148.52272564547,248.769993067753
16,7.9,169.437756795642,334.120408818241,164.682652022599,249.40153042042
16,7.9,97.9997374319033,296.079570633914,198.079833202011,247.079701917962
16,7.9,212.865237105684,353.846663775157,140.981426669473,247.414045222315
16,7.9,292.84758535848,394.487949882243,101.640364523763,248.064157203003
16,7.9,222.895536236318,360.756425398483,137.860889162166,249.308657280324
16,7.9,62.3736008901276,278.247927735006,215.874326844879,247.061127289942
16,7.9,127.570545239251,311.830855194611,184.26030995536,248.045582574986
16,7.9,264.354105976272,377.399292104127,113.045186127855,245.222239115991
16,7.9,158.070084447588,328.733766692531,170.663682244943,249.698724468737
16,7.9,163.270980293101,325.353184392947,162.082204099845,243.717694246396
16,7.9,164.496905742403,330.071139909952,165.574234167549,247.82268703875
16,7.9,43.9847191506344,269.480703309713,225.495984159078,247.488343734395
16,7.9,240.652880623143,367.740485533887,127.087604910744,247.414045222315
16,7.9,59.2902126388614,275.833226092449,216.543013453587,246.188119773018
16,7.9,233.371626439425,368.817813959029,135.446187519604,252.132000739317
16,7.9,155.432487268793,322.046900605444,166.61441333665,244.330656971047
16,7.9,115.719932562687,305.032541339403,189.312608776716,247.172575058059
16,7.9,232.814387598831,368.260575118437,135.446187519606,251.853381319021
16,7.9,157.401397838876,328.362274132136,170.96087629326,249.661575212698
16,7.9,135.297590495444,318.220527233385,182.922936737941,250.571731985663
16,7.6,344.262155716991,420.120936549419,75.8587808324281,247.989858690923
16,7.6,220.109342033365,356.632857978112,136.523515944747,246.578186961429
16,7.6,212.530893801327,356.03846988148,143.507576080153,249.773022980816
16,7.6,225.941775231545,364.062709185986,138.120933954441,251.091821570214
16,7.6,205.175341105528,354.886842944257,149.711501838729,252.299172391493
16,7.6,213.459625202313,354.29245484763,140.832829645317,247.562642246473
16,7.6,277.653539638372,386.463710577737,108.810170939365,247.636940758551
16,7.6,53.9407197691876,273.715718498201,219.774998729014,246.745358613608
16,7.6,92.5759460501513,290.730077764241,198.15413171409,244.442104739165
16,7.6,198.785669066756,345.933872238766,147.148203172011,246.541037705388
16,7.6,88.6009756539357,291.547361397107,202.946385743171,247.246873570139
16,7.6,188.012384815333,342.181797378789,154.169412563456,248.175604971123
16,7.6,203.577923095835,352.769335350013,149.191412254179,250.980373802096
16,7.6,225.68173043927,358.453171524039,132.771441084769,245.612306304404
16,7.6,188.383877375729,343.890663156601,155.506785780873,249.698724468737
16,7.6,315.32288526231,407.750234288305,92.4273490259948,250.08879165715
16,7.6,245.407985396186,372.495590306929,127.087604910743,249.791597608836
16,7.6,268.551971908723,382.637337205681,114.085365296958,248.361351251319
16,7.6,173.747070496207,332.597289320626,158.850218824419,245.723754072523
16,7.6,210.710580255398,355.072589224456,144.362008969058,249.717299096757
16,7.6,203.094982767324,349.834544122903,146.739561355579,248.287052739241
16,7.6,155.729681317108,324.75879629632,169.029114979211,246.893955637766
16,7.6,234.560402632683,366.663157108743,132.102754476061,249.382955792402
16,7.6,187.938086303254,339.804244992269,151.866158689015,245.835201840642
16,7.6,253.283627676534,377.696486152442,124.412858475907,251.054672314175
16,7.6,305.701227948106,399.763144239834,94.0619162917278,246.912530265781
16,7.6,181.957056080912,340.547230113056,158.590174032144,249.5687020726
16,7.6,231.254118845181,364.471351002421,133.21723215724,248.844291579831
16,7.6,278.136479966883,390.290083949793,112.15360398291,251.221843966351
16,7.6,70.9550790352279,282.520092179536,211.565013144308,247.042552661922
16,7.6,214.75984916369,357.041499794543,142.281650630853,249.661575212698
