plate,density,duration,colony,settle_time,mod_x,mod_y,field_area,field_perc,mod_area,mod_perc
B6,24,81,11,13,50.2,38.5,2950.202,3.447409737,86.18627401,1.72372548
B6,24,81,14,14,56.1,28.1,2751.254,3.214932343,112.0421562,2.240843124
B6,24,81,13,16,63.5,46.3,2561.385,2.993064065,78.45922876,1.569184575
B6,24,81,10,17,49.4,43.4,3288.372,3.842572696,87.9694383,1.759388766
B6,24,81,24,17,99.2,46.2,159.529,0.186414974,14.85970242,0.297194048
B6,24,81,2,19,12.1,34.6,421.265,0.492262246,29.71940483,0.594388097
B6,24,81,23,19,98.7,34.6,3571.823,4.173794672,112.9337384,2.258674767
B6,24,81,21,20,77.9,36.7,5494.878,6.420948776,149.4886063,2.989772126
B6,24,81,3,21,14.2,37.5,3884.012,4.538597963,91.83296093,1.836659219
B6,24,81,8,23,44.4,18.3,1578.035,1.843986691,55.87248108,1.117449622
B6,24,81,17,33,50.4,6.0,720.445,0.841864085,41.01277867,0.820255573
B6,24,81,20,35,86.9,22.3,575.517,0.672510869,71.02937755,1.420587551
B6,24,81,4,37,19.9,50.7,56.699,0.066254678,45.17349534,0.903469907
B6,24,81,6,38,23.9,4.9,179.866,0.210179438,43.6875251,0.873750502
B6,24,81,18,40,55.8,5.9,140.616,0.1643145,11.88776193,0.237755239
C3,8,129,8,3,95.4,1.8,11066.436,13.22738266,403.2923236,8.065846471
C3,8,129,3,5,39.0,41.8,11759.273,14.05551017,1010.459764,20.20919529
C3,8,129,4,8,62.5,16.0,22980.041,27.46736129,964.6918808,19.29383762
C3,8,129,5,8,76.1,35.3,12460.179,14.89328232,497.5028369,9.950056738
C3,8,129,1,10,18.8,49.3,17866.4,21.3551779,712.0769398,14.2415388
C3,8,129,7,11,91.9,40.2,4149.113,4.959311683,273.7157185,5.47431437
C3,8,129,2,16,32.2,41.0,2003.915,2.395220152,191.6901612,3.833803223
C3,8,129,6,16,78.9,48.3,1776.42,2.123302127,90.94137878,1.818827576
C5,8,109,2,4,7.0,43.5,18062.356,21.41357389,978.3628071,19.56725614
C5,8,109,4,7,73.1,19.8,29968.517,35.52875678,1388.1934,27.76386799
C5,8,109,6,7,94.5,14.4,5078.674,6.02095103,227.353447,4.547068939
C5,8,109,1,10,3.4,12.8,17100.269,20.27298508,767.6522268,15.35304454
C5,8,109,5,14,92.0,9.8,3807.55,4.513987725,131.3597694,2.627195387
C5,8,109,8,14,90.2,42.5,9373.331,11.11242166,385.1634866,7.703269732
C5,8,109,7,16,99.1,10.3,867.127,1.028010304,21.99235958,0.439847192
C5,8,109,3,32,64.8,29.9,192.998,0.228806083,318.8892138,6.377784277
C7,16,95,8,6,66.4,16.4,12252.511,14.6152713,933.4865058,18.66973012
C7,16,95,13,7,65.2,38.9,3396.061,4.050953543,428.2566236,8.565132472
C7,16,95,15,7,75.3,48.2,5113.636,6.099743754,66.86866087,1.337373217
C7,16,95,16,11,76.7,46.9,7832.962,9.34346149,283.225928,5.664518561
C7,16,95,2,12,19.6,47.6,4038.56,4.81735132,148.2998301,2.965996602
C7,16,95,7,15,37.5,38.5,10712.522,12.77831257,487.1010452,9.742020904
C7,16,95,4,16,18.0,22.7,16029.403,19.12049486,227.650641,4.55301282
C7,16,95,6,16,18.2,11.3,5817.515,6.939357981,522.764331,10.45528662
C7,16,95,12,16,82.0,23.6,9812.835,11.70513095,518.6036143,10.37207229
C7,16,95,5,19,19.1,24.8,2408.595,2.873065722,237.1608506,4.743217011
C7,16,95,1,21,10.5,44.4,3486.627,4.158984188,150.3801884,3.007603769
C7,16,95,14,28,65.8,39.9,1172.489,1.398590446,7.13,0.1426
C7,16,95,3,35,15.9,42.7,118.355,0.141178444,23.47832982,0.469566596
C7,16,95,10,39,75.6,19.9,280.327,0.33438494,7.429851208,0.148597024
C7,16,95,11,40,80.0,17.7,494.681,0.590074722,22.28955362,0.445791072
C7,16,95,9,42,59.7,21.6,337.014,0.402003397,19.31761314,0.386352263
C10,24,81,6,1,46.7,19.9,4779.645,5.649879364,321.2667662,6.425335325
C10,24,81,9,3,63.6,10.3,3738.383,4.419033834,169.6978016,3.393956032
